Ãœlke,Model,Kirletici,RMSE,R2,MAE
TR,xgboost,co,23.568105552130973,0.0,11.786943078655748
TR,xgboost,no2,23.061604807647317,0.3381150542303857,18.630342164616916
TR,xgboost,o3,15.516062628589488,-1.429441898319031,8.608529665486083
TR,xgboost,pm10,188.64306704169599,-193.3308140114024,36.44839288677397
TR,xgboost,pm25,15.021301243943434,-0.6623837178845189,10.866800315093435
TR,xgboost,so2,0.3698079652301824,0.0,0.14832855496567407
TR,randomforest,co,0.003112782136327041,0.0,0.0031127821363270414
TR,randomforest,no2,20.5658424286182,0.4736235386476527,16.43895419965227
TR,randomforest,o3,11.485526374751736,-0.3312060299214894,8.149898274360273
TR,randomforest,pm10,115.27204999139583,-71.56179302158426,57.986640760926555
TR,randomforest,pm25,11.976692287647332,-0.056793049241778304,9.046021513893479
TR,randomforest,so2,0.08606309141575545,0.0,0.0402348520537224
TR,mlp,co,222.10504044172887,0.0,173.60927237005905
TR,mlp,no2,30.561585955317565,-0.16239899940460645,23.403246793133114
TR,mlp,o3,9.165136234667084,0.15234072367515417,7.029504730480445
TR,mlp,pm10,19.956022020370327,-1.1747428982377643,15.759592191072993
TR,mlp,pm25,10.438668815671,0.19720177563818808,6.92351194328486
TR,mlp,so2,1.5415379969732994,0.0,1.1699344311010778
TR,knn,co,311.7409635970984,0.0,228.63435681054415
TR,knn,no2,22.73882142512673,0.3565136272263666,18.231281813891865
TR,knn,o3,9.067458568961396,0.17031234346536273,7.012516523311481
TR,knn,pm10,22.637133629229982,-1.7983552129455371,13.04521247453712
TR,knn,pm25,11.926370201640719,-0.047931118581609145,8.347759962696442
TR,knn,so2,0.04440202135829793,0.0,0.002462980996024468
FI,xgboost,no2,4.010924325436263,0.17922673975857928,2.9095274489936016
FI,xgboost,o3,9.628250467940914,0.4626176453534161,7.55446961501984
FI,xgboost,pm10,5.718466244348563,0.28422942194514933,3.8888346869202324
FI,xgboost,pm25,2.8194767274515584,0.05569737489277782,1.9144766635271948
FI,xgboost,so2,0.9935016382713291,-0.02626142212472815,0.6851161663588062
FI,randomforest,no2,3.735468128735296,0.28809124557069765,2.713864869255629
FI,randomforest,o3,9.23096341659302,0.5060503264822096,7.2097779803300135
FI,randomforest,pm10,5.4424911019708295,0.3516490160274066,3.6798400419453627
FI,randomforest,pm25,2.587450464412824,0.20472330313288856,1.740977203199039
FI,randomforest,so2,0.9701099255480606,0.02149573114845149,0.6524179224126627
FI,mlp,no2,3.970347172260845,0.19574970242849976,2.8320550696955524
FI,mlp,o3,9.63302001137231,0.46208510762571464,7.486678075230083
FI,mlp,pm10,5.8973869884496315,0.23873831228693387,4.024575377186517
FI,mlp,pm25,2.7260522042198567,0.11724028583376456,1.7880396639516307
FI,mlp,so2,0.992048055611596,-0.02326059260745872,0.6627378634234031
FI,knn,no2,3.926144532993143,0.21355776395739867,2.905345803447826
FI,knn,o3,9.71949559458949,0.45238403917114234,7.541146319934059
FI,knn,pm10,5.669103323496197,0.29653343013372957,3.8439805877647992
FI,knn,pm25,2.6698445041165537,0.15326774307805013,1.7952414634758271
FI,knn,so2,0.9875899386470183,-0.0140844940906657,0.664762489194373
AU,xgboost,co,78516.4197949569,-0.004527280063834738,5640.064929250346
AU,xgboost,no2,1506.6779344171966,-0.007124513691146195,136.72340211935938
AU,xgboost,o3,10.531577359623697,-0.19262580918751815,7.9634562355529965
AU,xgboost,pm10,6.660160977207696,-0.4220983816312498,5.156728635366952
AU,xgboost,pm25,4.908178318137351,-0.03768750283563649,2.9840527771867342
AU,xgboost,so2,1.6237732281952537,-3.391646564864157,1.192239271676348
AU,randomforest,co,78491.15963879292,-0.0038810347482516327,5627.13066070784
AU,randomforest,no2,1506.3422663864237,-0.006675815483086822,136.58384541366252
AU,randomforest,o3,8.495112546967604,0.22401087839306977,6.249940114665223
AU,randomforest,pm10,6.466287096795887,-0.3405103008140724,5.1412658781820415
AU,randomforest,pm25,4.601185364763553,0.08806185771856034,2.79473608002988
AU,randomforest,so2,0.9743376663994904,-0.5812320623424394,0.7605914430789428
AU,mlp,co,78326.87739679599,0.00031681986336262735,5630.188077111918
AU,mlp,no2,1367.9998599777343,0.16973942323286606,128.05390419589222
AU,mlp,o3,8.105609689888079,0.2935381184085534,6.351146087690462
AU,mlp,pm10,6.29749170433857,-0.2714386164841551,5.045077102857508
AU,mlp,pm25,4.873850417413067,-0.023223046958880555,3.0785323496686505
AU,mlp,so2,0.8421147642355523,-0.18118844830162373,0.5193250367149854
AU,knn,co,78509.2830044146,-0.004344674311024921,5631.4513954981385
AU,knn,no2,1506.110242347129,-0.006365719955143678,136.79419400353137
AU,knn,o3,9.576903615010657,0.013794109413700406,7.433813242525107
AU,knn,pm10,5.04594117269003,0.18370985041877963,3.8047381216159084
AU,knn,pm25,4.676320513734818,0.05803566199206678,2.771630821156563
AU,knn,so2,1.9873936413765758,-5.578765704343093,1.502017269190489
